2022-08-29 09:23:28.658 | ERROR    | 文件: E:\gitpush\Sakura_Admin\webapi\app\crud\auth\UserDao.py | 模块: UserDao | 方法: register_user | 行数: 142 | - 用户注册失败:用户名或邮箱已存在！
2022-08-29 09:23:35.264 | ERROR    | 文件: E:\gitpush\Sakura_Admin\webapi\app\crud\auth\UserDao.py | 模块: UserDao | 方法: register_user | 行数: 142 | - 用户注册失败:用户名或邮箱已存在！
2022-08-30 14:15:00.715 | ERROR    | 文件: E:\gitpush\Sakura_Admin\webapi\app\crud\auth\UserDao.py | 模块: UserDao | 方法: register_for_github | 行数: 111 | - Github用户登录失败: (pymysql.err.IntegrityError) (1048, "Column 'email' cannot be null")
[SQL: INSERT INTO sakura_user (username, name, password, email, `role`, phone, created_at, updated_at, deleted_at, update_user, last_login_in, avatar, is_valid) VALUES (%s, %s, %s, %s, %s, %s, %s, %s, %s, %s, %s, %s, %s)]
[parameters: (None, None, '542b9eb1771a4f78089ebd14d0d710ec', None, 0, None, datetime.datetime(2022, 8, 30, 14, 15, 0, 697852), datetime.datetime(2022, 8, 30, 14, 15, 0, 697852), 0, None, None, None, 1)]
(Background on this error at: http://sqlalche.me/e/14/gkpj)
2022-08-30 17:32:45.723 | ERROR    | 文件: E:\gitpush\Sakura_Admin\webapi\app\crud\auth\UserDao.py | 模块: UserDao | 方法: login | 行数: 171 | - 用户root登录失败:用户名或密码错误！
2022-08-30 17:33:01.073 | ERROR    | 文件: E:\gitpush\Sakura_Admin\webapi\app\crud\auth\UserDao.py | 模块: UserDao | 方法: login | 行数: 171 | - 用户root1登录失败:用户名或密码错误！
2022-08-30 17:33:13.229 | ERROR    | 文件: E:\gitpush\Sakura_Admin\webapi\app\crud\auth\UserDao.py | 模块: UserDao | 方法: login | 行数: 171 | - 用户root登录失败:用户名或密码错误！
2022-08-30 17:33:21.677 | ERROR    | 文件: E:\gitpush\Sakura_Admin\webapi\app\crud\auth\UserDao.py | 模块: UserDao | 方法: login | 行数: 171 | - 用户root登录失败:用户名或密码错误！
2022-08-31 11:37:49.270 | ERROR    | 文件: E:\gitpush\Sakura_Admin\webapi\app\crud\auth\UserDao.py | 模块: UserDao | 方法: login | 行数: 172 | - 用户fewfa登录失败: 用户名或密码错误
